Powers test of 80 - started 15/04/2026 20:40:09

80^1: steps=9 even=8 odd=1 pct=88.9% peak=80 ms=0.014
80^83: steps=1613 even=1192 odd=421 pct=73.9% peak=90462569716653277674664832038037428010367175520031690655826237506182132531200000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.304
80^84: steps=1679 even=1235 odd=444 pct=73.6% peak=7237005577332262213973186563042994240829374041602535252466099000494570602496000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.841
80^85: steps=1856 even=1346 odd=510 pct=72.5% peak=578960446186580977117854925043439539266349923328202820197287920039565648199680000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.492
80^86: steps=1583 even=1181 odd=402 pct=74.6% peak=46316835694926478169428394003475163141307993866256225615783033603165251855974400000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.360
80^87: steps=1561 even=1170 odd=391 pct=75.0% peak=3705346855594118253554271520278013051304639509300498049262642688253220148477952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.629
80^88: steps=2260 even=1601 odd=659 pct=70.8% peak=296427748447529460284341721622241044104371160744039843941011415060257611878236160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.759
80^89: steps=1982 even=1433 odd=549 pct=72.3% peak=23714219875802356822747337729779283528349692859523187515280913204820608950258892800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.762
80^90: steps=1479 even=1127 odd=352 pct=76.2% peak=1897137590064188545819787018382342682267975428761855001222473056385648716020711424000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.361
80^91: steps=1943 even=1414 odd=529 pct=72.8% peak=151771007205135083665582961470587414581438034300948400097797844510851897281656913920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.371
80^92: steps=2001 even=1452 odd=549 pct=72.6% peak=12141680576410806693246636917646993166515042744075872007823827560868151782532553113600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.375
80^93: steps=1754 even=1303 odd=451 pct=74.3% peak=971334446112864535459730953411759453321203419526069760625906204869452142602604249088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.334
80^94: steps=1693 even=1268 odd=425 pct=74.9% peak=77706755689029162836778476272940756265696273562085580850072496389556171408208339927040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.332
80^95: steps=1733 even=1295 odd=438 pct=74.7% peak=6216540455122333026942278101835260501255701884966846468005799711164493712656667194163200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.313
80^96: steps=1910 even=1406 odd=504 pct=73.6% peak=497323236409786642155382248146820840100456150797347717440463976893159497012533375533056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.655
80^97: steps=1849 even=1371 odd=478 pct=74.1% peak=39785858912782931372430579851745667208036492063787817395237118151452759761002670042644480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.345
80^98: steps=2194 even=1585 odd=609 pct=72.2% peak=3182868713022634509794446388139653376642919365103025391618969452116220780880213603411558400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.429
80^99: steps=1960 even=1444 odd=516 pct=73.7% peak=254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.360
80^100: steps=2155 even=1566 odd=589 pct=72.7% peak=20370359763344860862684456884093781610514683936659362506361404493543812997633367061833973760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.822
80^101: steps=1983 even=1463 odd=520 pct=73.8% peak=1629628781067588869014756550727502528841174714932749000508912359483505039810669364946717900800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.567
80^102: steps=2015 even=1485 odd=530 pct=73.7% peak=130370302485407109521180524058200202307293977194619920040712988758680403184853549195737432064000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.663
80^103: steps=1918 even=1428 odd=490 pct=74.5% peak=10429624198832568761694441924656016184583518175569593603257039100694432254788283935658994565120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.462
80^104: steps=2537 even=1810 odd=727 pct=71.3% peak=834369935906605500935555353972481294766681454045567488260563128055554580383062714852719565209600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.474
80^105: steps=1835 even=1382 odd=453 pct=75.3% peak=66749594872528440074844428317798503581334516323645399060845050244444366430645017188217565216768000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.334
80^106: steps=2149 even=1577 odd=572 pct=73.4% peak=5339967589802275205987554265423880286506761305891631924867604019555549314451601375057405217341440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.430
80^107: steps=2088 even=1542 odd=546 pct=73.9% peak=427197407184182016479004341233910422920540904471330553989408321564443945156128110004592417387315200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.384
80^108: steps=2115 even=1561 odd=554 pct=73.8% peak=34175792574734561318320347298712833833643272357706444319152665725155515612490248800367393390985216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.388
80^109: steps=2142 even=1580 odd=562 pct=73.8% peak=2734063405978764905465627783897026706691461788616515545532213258012441248999219904029391471278817280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.404
80^110: steps=2195 even=1615 odd=580 pct=73.6% peak=218725072478301192437250222711762136535316943089321243642577060640995299919937592322351317702305382400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.422
80^111: steps=2346 even=1710 odd=636 pct=72.9% peak=17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.433
80^112: steps=2714 even=1938 odd=776 pct=71.4% peak=1399840463861127631598401425355277673826028435771655959312493188102369919487600590863048433294754447360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.602
80^113: steps=1950 even=1472 odd=478 pct=75.5% peak=111987237108890210527872114028422213906082274861732476744999455048189593559008047269043874663580355788800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.642
80^114: steps=2608 even=1878 odd=730 pct=72.0% peak=8958978968711216842229769122273777112486581988938598139599956403855167484720643781523509973086428463104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.632
80^115: steps=2878 even=2046 odd=832 pct=71.1% peak=716718317496897347378381529781902168998926559115087851167996512308413398777651502521880797846914277048320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.621
80^116: steps=2587 even=1870 odd=717 pct=72.3% peak=57337465399751787790270522382552173519914124729207028093439720984673071902212120201750463827753142163865600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.482
80^117: steps=2110 even=1580 odd=530 pct=74.9% peak=4586997231980143023221641790604173881593129978336562247475177678773845752176969616140037106220251373109248000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.401
80^118: steps=2243 even=1664 odd=579 pct=74.2% peak=366959778558411441857731343248333910527450398266924979798014214301907660174157569291202968497620109848739840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.412
80^119: steps=3154 even=2225 odd=929 pct=70.5% peak=29356782284672915348618507459866712842196031861353998383841137144152612813932605543296237479809608787899187200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.586
80^120: steps=2832 even=2030 odd=802 pct=71.7% peak=2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.644
80^121: steps=2598 even=1889 odd=709 pct=72.7% peak=187883406621906658231158447743146962190054603912665589656583277722576722009168675477095919870781496242554798080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.490
80^122: steps=2418 even=1781 odd=637 pct=73.7% peak=15030672529752532658492675819451756975204368313013247172526662217806137760733494038167673589662519699404383846400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.453
80^123: steps=2789 even=2011 odd=778 pct=72.1% peak=1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.523
80^124: steps=3033 even=2163 odd=870 pct=71.3% peak=96196304190416209014353125244491244641307957203284781904170638193959281668694361844273110973840126076188056616960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=1.132
80^125: steps=2569 even=1881 odd=688 pct=73.2% peak=7695704335233296721148250019559299571304636576262782552333651055516742533495548947541848877907210086095044529356800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.719
80^126: steps=2764 even=2003 odd=761 pct=72.5% peak=615656346818663737691860001564743965704370926101022604186692084441339402679643915803347910232576806887603562348544000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.801
80^127: steps=2305 even=1724 odd=581 pct=74.8% peak=49252507745493099015348800125179517256349674088081808334935366755307152214371513264267832818606144551008284987883520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.431
80^128: steps=2699 even=1968 odd=731 pct=72.9% peak=3940200619639447921227904010014361380507973927046544666794829340424572177149721061141426625488491564080662799030681600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.609
80^129: steps=2832 even=2052 odd=780 pct=72.5% peak=315216049571155833698232320801148910440637914163723573343586347233965774171977684891314130039079325126453023922454528000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.534
80^130: steps=2086 even=1597 odd=489 pct=76.6% peak=25217283965692466695858585664091912835251033133097885867486907778717261933758214791305130403126346010116241913796362240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.491
80^131: steps=2974 even=2144 odd=830 pct=72.1% peak=2017382717255397335668686853127353026820082650647830869398952622297380954700657183304410432250107680809299353103708979200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.659
80^132: steps=2789 even=2033 odd=756 pct=72.9% peak=161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.522
80^133: steps=2423 even=1811 odd=612 pct=74.7% peak=12911249390434542948279595860015059371648528964146117564153296782703238110084205973148226766400689157179515859863737466880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.456
80^134: steps=2781 even=2033 odd=748 pct=73.1% peak=1032899951234763435862367668801204749731882317131689405132263742616259048806736477851858141312055132574361268789098997350400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.524
80^135: steps=2932 even=2128 odd=804 pct=72.6% peak=82631996098781074868989413504096379978550585370535152410581099409300723904538918228148651304964410605948901503127919788032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.819
80^136: steps=2579 even=1914 odd=665 pct=74.2% peak=6610559687902485989519153080327710398284046829642812192846487952744057912363113458251892104397152848475912120250233583042560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.623
80^137: steps=2619 even=1941 odd=678 pct=74.1% peak=528844775032198879161532246426216831862723746371424975427719036219524632989049076660151368351772227878072969620018686643404800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.615
80^138: steps=2969 even=2158 odd=811 pct=72.7% peak=42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472384000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.565
80^139: steps=2598 even=1933 odd=665 pct=74.4% peak=3384606560206072826633806377127787723921431976777119842737401831804957651129914090624968757451342258419667005568119594517790720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.504
80^140: steps=2780 even=2047 odd=733 pct=73.6% peak=270768524816485826130704510170223017913714558142169587418992146544396612090393127249997500596107380673573360445449567561423257600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.554
80^141: steps=2652 even=1971 odd=681 pct=74.3% peak=21661481985318866090456360813617841433097164651373566993519371723551728967231450179999800047688590453885868835635965404913860608000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.494
80^142: steps=3121 even=2261 odd=860 pct=72.4% peak=1732918558825509287236508865089427314647773172109885359481549737884138317378516014399984003815087236310869506850877232393108848640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.600
80^143: steps=3179 even=2299 odd=880 pct=72.3% peak=138633484706040742978920709207154185171821853768790828758523979030731065390281281151998720305206978904869560548070178591448707891200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.642
80^144: steps=3299 even=2375 odd=924 pct=72.0% peak=11090678776483259438313656736572334813745748301503266300681918322458485231222502492159897624416558312389564843845614287315896631296000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.614
80^145: steps=3021 even=2207 odd=814 pct=73.1% peak=887254302118660755065092538925786785099659864120261304054553465796678818497800199372791809953324664991165187507649142985271730503680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.582
80^146: steps=3211 even=2326 odd=885 pct=72.4% peak=70980344169492860405207403114062942807972789129620904324364277263734305479824015949823344796265973199293215000611931438821738440294400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.601
80^147: steps=3132 even=2280 odd=852 pct=72.8% peak=5678427533559428832416592249125035424637823130369672345949142181098744438385921275985867583701277855943457200048954515105739075223552000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=1.048
80^148: steps=3239 even=2348 odd=891 pct=72.5% peak=454274202684754306593327379930002833971025850429573787675931374487899555070873702078869406696102228475476576003916361208459126017884160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.782
80^149: steps=3142 even=2291 odd=851 pct=72.9% peak=36341936214780344527466190394400226717682068034365903014074509959031964405669896166309552535688178278038126080313308896676730081430732800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.666
80^150: steps=2546 even=1928 odd=618 pct=75.7% peak=2907354897182427562197295231552018137414565442749272241125960796722557152453591693304764202855054262243050086425064711734138406514458624000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.504
80^151: steps=3271 even=2375 odd=896 pct=72.6% peak=232588391774594204975783618524161450993165235419941779290076863737804572196287335464381136228404340979444006914005176938731072521156689920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.733
80^152: steps=3192 even=2329 odd=863 pct=73.0% peak=18607071341967536398062689481932916079453218833595342343206149099024365775702986837150490898272347278355520553120414155098485801692535193600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.884
80^153: steps=3131 even=2294 odd=837 pct=73.3% peak=1488565707357402911845015158554633286356257506687627387456491927921949262056238946972039271861787782268441644249633132407878864135402815488000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.599
80^154: steps=3246 even=2367 odd=879 pct=72.9% peak=119085256588592232947601212684370662908500600535010190996519354233755940964499115757763141748943022581475331539970650592630309130832225239040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.604
80^155: steps=3198 even=2340 odd=858 pct=73.2% peak=9526820527087378635808097014749653032680048042800815279721548338700475277159929260621051339915441806518026523197652047410424730466578019123200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.608
80^156: steps=3300 even=2405 odd=895 pct=72.9% peak=762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=0.666
80^157: steps=3614 even=2600 odd=1014 pct=71.9% peak=60971651373359223269171820894397779409152307473925217790217909367683041773823547267974728575458827561715369748464973103426718274986099322388480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ms=1.314
