Powers test of 67 - started 15/04/2026 17:48:09

67^1: steps=27 even=19 odd=8 pct=70.4% peak=304 ms=0.033
67^92: steps=4115 even=2739 odd=1376 pct=66.6% peak=2992286017528965809006742488827085948640123817687670100321074854576105716176809958817409002954356820596652094860889972674436666473221005410510516539631233292339101780884 ms=0.967
67^93: steps=4310 even=2861 odd=1449 pct=66.4% peak=963405786318973749817270686354515794119774981918361696574590086986240173430431171411134061070578748800503299138389189759304876151096534745158754712480621300741798389565236 ms=1.198
67^94: steps=4541 even=3005 odd=1536 pct=66.2% peak=15111418424273468456210175411387887426376205294799944965383968149966155879907412393272767641044871238615667660559351973252489470273075229948754422339705182030474006381181764 ms=1.274
67^95: steps=3960 even=2651 odd=1309 pct=66.9% peak=1708534745594419027330262957450043022144659711143318777648724898955548499172031813714402291415635754415983924871991732475859590732749568186081046875782917143320467346472362792 ms=0.970
67^96: steps=4155 even=2773 odd=1382 pct=66.7% peak=60297917605834311022157757708195757028446920505206180399652118244620509995470554874134625725022601769018428558445272007049266872938519739768852090562610277453153613017888819844 ms=1.174
67^97: steps=4192 even=2798 odd=1394 pct=66.7% peak=35945237005654587336275555561881541251634133862461159165056508547244420585131148823947510013123792611122862182323031310014130284792416560584739528804220521535453751773891863676952 ms=1.178
67^98: steps=4573 even=3034 odd=1539 pct=66.3% peak=456768031723745999926161669219153146194928256624531542686189730475171229561313603900608690109369650138146287285577643941899518300047963001200261245778753341134661084912948664464452 ms=1.253
67^99: steps=3576 even=2425 odd=1151 pct=67.8% peak=45905187188236472992579247756524891192590289790765420039962067912754708570912017192011173355991649838883701872200553216160901589154820281620626255200764710784033439033751340778676788 ms=0.882
67^100: steps=4934 even=3260 odd=1674 pct=66.1% peak=1215070633723197507359134656666535391566834337177790871181218192653655496000436603205826613274643175982304405111086248091962629717875736836970650508030117776802070287510652773203494004 ms=1.385
67^101: steps=4281 even=2862 odd=1419 pct=66.9% peak=122114598689181349489593032994986806852466850886367982553712428361692377348043878622185574634101639186221592713664167933242244286646511552115550376057026836568608063894820603706951147304 ms=1.157
67^102: steps=4057 even=2727 odd=1330 pct=67.2% peak=6136258584131362811852049907998087044336459257039991123324049525175041961739204900764825125363607369107635033861624438645422775403987205493806406396865598537572555210714735336274295151904 ms=1.087
67^103: steps=4699 even=3123 odd=1576 pct=66.5% peak=548172433515735077858783125114495775960723693628905873683615090915637081915368971134991044532482258306948729691638449852324434602756190357446705638119993469356481598823849690040503700236436 ms=1.215
67^104: steps=3808 even=2579 odd=1229 pct=67.7% peak=24485035363702833477692312921780811326245658315424462357868140727565122992219814044029599989117540871043709926226517426737158078923109835965952851836026374964589511414131952821809165277227364 ms=1.500
67^105: steps=4662 even=3105 odd=1557 pct=66.6% peak=2460746054052134764508077448638971538287688660700158466965748143120294860718091311424974798906312857539892847585765001387084386931772538514578261609520650683941245897120261258591821110361349984 ms=1.333
67^106: steps=4195 even=2821 odd=1374 pct=67.2% peak=625990726656606345327437639707673368982216548200926250010458523720961259802363197520468979703026244275109303930372499805986264119315448430560135582259464277894491007047108961736459992153017797664 ms=1.136
67^107: steps=4444 even=2976 odd=1468 pct=67.0% peak=12427075166220037077611354625307886139795113697618387777985398841275379083483950884110050856326743219683651366914061477629949539553817791065934543410780476035238784436194459388546020584963612575328 ms=1.101
67^108: steps=4949 even=3288 odd=1661 pct=66.4% peak=493400910303254805451828598456668664513346736438774507333346205846192828796103531398739796962306249314847195012291626074789107644507136000840067797642839641102813959837054091278567928410407136323924 ms=2.503
67^109: steps=4601 even=3077 odd=1524 pct=66.9% peak=49586791485477107947908774144895200783591347012096837987001293687542379294008404905573349594711778056142143098735308420516305318272967168084426813663105383930832802963623936173496076805245917200554264 ms=1.942
